id,per_square_meter_price
COL_289284,39044.30995120963
COL_289305,44538.80979396659
COL_289318,39800.40537474087
COL_289354,101673.6583766452
COL_289399,56347.29040960801
COL_289428,45758.5563152518
COL_289460,50408.122037547204
COL_289493,64027.81745674196
COL_289495,59474.75610286612
COL_289749,51575.55477519789
COL_289763,219305.55959279815
COL_289778,66339.14597106364
COL_289801,39361.19105831675
COL_289971,40902.94638751285
COL_290143,51631.021815284184
COL_290169,98212.45595522878
COL_290252,27159.553270066088
COL_290336,44015.871479930196
COL_290398,41129.37026554202
COL_290403,43548.48081870731
COL_290431,39615.98954315249
COL_290466,46229.34149608482
COL_290486,52471.526045944986
COL_290497,32768.66724463759
COL_290510,45391.73150466769
COL_290559,54158.1974403526
COL_290600,152681.0796415397
COL_290602,160029.99476444942
COL_290716,44250.26137101368
COL_290717,28570.04313652824
COL_290876,50671.46153856713
COL_290966,33029.99798006984
COL_291008,36986.1971783054
COL_291021,147710.08038611614
COL_291043,72445.83609581448
COL_291190,55227.50517270581
COL_291192,55194.36510654676
COL_291274,44602.12433785195
COL_291284,76850.70079868464
COL_291397,39049.877744127065
COL_291450,78222.67278874487
COL_291738,81146.43004687008
COL_291740,38134.36770319372
COL_291825,33092.34464793237
COL_291900,45762.43073117684
COL_292045,72306.9063364465
COL_292135,45212.67399607765
COL_292258,45542.87959144657
COL_292275,34861.64522679252
COL_292279,50274.713899114904
COL_292364,54377.730694702004
COL_292417,37217.088866606944
COL_292421,48873.07421490433
COL_292501,50161.13650265492
COL_292654,109625.37613611859
COL_292906,69444.74904884951
COL_292926,31714.131118238027
COL_293123,61698.83151558386
COL_293135,31206.045497134757
COL_293496,52451.993876258595
COL_293497,47034.10416835821
COL_293588,204815.5634145569
COL_293614,177721.8884325885
COL_293631,86639.7643462366
COL_293703,34676.22326764131
COL_293773,36847.40641461382
COL_293780,56860.51776734574
COL_293783,32810.263534627615
COL_293826,41380.55287359511
COL_293889,89257.94247042932
COL_293952,55010.550072900616
COL_293956,39799.573751115226
COL_294068,76526.51813079878
COL_294101,46535.08015173883
COL_294115,42345.957438339465
COL_294143,41361.60798529755
COL_294200,36945.500613696844
COL_294245,29802.57542654477
COL_294261,34811.179037891234
COL_294293,57306.20472975471
COL_294300,72208.81811908515
COL_294350,37675.25157520202
COL_294488,55995.26885089453
COL_294525,58169.87935565207
COL_294553,51813.76038466814
COL_294558,47565.25462442447
COL_294593,42805.30574389412
COL_294691,61722.53669305024
COL_294716,32135.340668317134
COL_294729,63293.33140193631
COL_294785,68979.61333388089
COL_294917,74279.33589853352
COL_294951,29492.356375838688
COL_294975,45330.43914397241
COL_295255,33843.65116637246
COL_295327,20269.960974528098
COL_295509,35590.33384077794
COL_295595,61124.013199210036
COL_296322,39743.03339435937
COL_296509,29571.306591548826
COL_296521,200377.33743334794
COL_296756,33811.8696091005
COL_296901,53956.7469691413
COL_297293,30716.257687180772
COL_297324,39303.69667390387
COL_297326,54526.57750287883
COL_297329,42587.12193161067
COL_297441,44199.31143055666
COL_297472,37171.157365840496
COL_297631,72806.33197000872
COL_297815,93269.68049947514
COL_298020,40282.51427316103
COL_298046,69209.43675736577
COL_298052,42133.12697150071
COL_298055,95104.90806825613
COL_298064,65168.2474061776
COL_298075,63265.34030041188
COL_298099,44969.00879168912
COL_298101,77306.48293139259
COL_298102,48165.965424237074
COL_298103,38263.016862659046
COL_298104,46782.223350910244
COL_298261,63202.55299873819
COL_298459,250214.74520134274
COL_298471,36481.34671090176
COL_298481,60533.64232852172
COL_298516,61519.500855776365
COL_298532,39395.20231153871
COL_298539,42846.52689276556
COL_298593,228423.43137037643
COL_298719,35077.47565513565
COL_298724,56034.64860175403
COL_298733,45914.145268173845
COL_298817,83202.69662840111
COL_298837,48117.521629251874
COL_298968,364174.8763183362
COL_299209,66001.50961888568
COL_299221,298501.07846211933
COL_299361,51935.816924527666
